Total_Trades,Winning_Trades,Losing_Trades,Win_Rate,Profit_Factor,Average_Win,Average_Loss,Largest_Win,Largest_Loss,Average_Trade_Duration,Total_Net_Profit,Max_Drawdown,Sharpe_Ratio,Sortino_Ratio,Expectancy,Ticker,Timeframe
28,8,20,0.2857142857142857,0.1852941176470612,0.7874999999999943,-1.699999999999966,2.2000000000000455,-5.849999999999909,1.0,-195.5789499999994,-0.19557894999999553,-2.0560370546650786,-0.6050976218765244,-0.9892857142856916,AXISBANK,15min
29,10,19,0.3448275862068966,0.33683915299396877,24.01999999999971,-37.531578947368104,135.34999999999854,-128.39999999999964,1.0,-1771.020199999997,-1.771020199999999,-1.1890830901304559,-0.24397490416034598,-16.30689655172403,BAJAJ-AUTO,15min
32,11,21,0.34375,0.1663784157730889,8.745454545454528,-27.53333333333328,22.30000000000109,-249.35000000000036,1.0,-1641.946899999999,-1.6419468999999953,-1.0775140555878344,-0.1857575464203269,-15.062499999999972,BAJFINANCE,15min
28,13,15,0.4642857142857143,0.5776805251641147,3.0461538461538393,-4.569999999999982,6.25,-14.099999999999909,1.0,-283.8998499999998,-0.2838998500000016,-1.59040847495387,-0.35953572886464147,-1.0339285714285649,BAJAJFINSV,15min
39,16,23,0.41025641025641024,0.15894775842904463,0.2681249999999942,-1.173478260869563,0.8000000000000114,-4.75,1.0,-78.74285000000005,-0.07874284999999509,-1.5640645083340963,-0.32516539990721693,-0.5820512820512832,BPCL,15min
30,8,22,0.26666666666666666,0.13132022471910318,2.337500000000034,-6.4727272727272664,4.7000000000000455,-41.5,1.0,-379.5862499999996,-0.379586249999993,-1.3047997911433298,-0.24216267047896148,-4.12333333333332,BHARTIARTL,15min
24,9,15,0.375,0.2522483000658011,6.388888888888788,-15.196666666666594,16.75,-69.80000000000018,1.0,-926.1160499999999,-0.926116049999997,-1.532981715805407,-0.30646865885030183,-7.102083333333326,BRITANNIA,15min
28,6,22,0.21428571428571427,0.13171108536114115,2.841666666666621,-5.8840909090909115,10.700000000000045,-19.0,1.0,-332.4299500000003,-0.3324299500000052,-1.429951515837483,-0.2806091429435576,-4.014285714285726,CIPLA,15min
22,6,16,0.2727272727272727,0.07979626485568679,0.391666666666661,-1.8406249999999922,0.8999999999999773,-7.099999999999966,1.0,-89.23654999999991,-0.08923655000000144,-1.4297977022323671,-0.2649391858755401,-1.2318181818181777,COALINDIA,15min
37,8,29,0.21621621621621623,0.15600819299044427,8.568750000000136,-15.151724137931007,16.0,-61.19999999999982,1.0,-1322.6227499999982,-1.322622749999995,-1.7670239009545392,-0.40349290814013905,-10.022972972972921,DIVISLAB,15min
29,10,19,0.3448275862068966,0.16022408963585852,1.430000000000041,-4.697368421052643,4.2000000000000455,-31.450000000000045,1.0,-273.53539999999987,-0.2735353999999934,-1.280649137638375,-0.232784159005486,-2.5844827586206836,DRREDDY,15min
